"AreaLabel"	"data-version"	"PM-filename"
"Area-PFcm"	9.4	"Area-PFcm_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_e83b1b144fa6d3e72e61b29a4757001d.nii.gz"
"Area-PFm"	9.4	"Area-PFm_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_c82d509502b39957d20e5aa6989c8ca0.nii.gz"
"Area-PFm"	9.4	"Area-PFm_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_7758af8727da3ced2d840afdef6f2495.nii.gz"
"Area-PFop"	9.4	"Area-PFop_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_35417f04bfb29680c7afe881261e9105.nii.gz"
"Area-PFop"	9.4	"Area-PFop_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_bd4eaecba1988bc31a745cf4e1f85ef5.nii.gz"
"Area-PFt"	9.4	"Area-PFt_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_2f30461bc406dfda445b68b5edd8950f.nii.gz"
"Area-PFt"	9.4	"Area-PFt_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_28f7d67ec4042c21c459d44566c13c5c.nii.gz"
"Area-PGa"	9.4	"Area-PGa_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_aefd1d612523c56e9d11b1b33d2d1373.nii.gz"
"Area-PGa"	9.4	"Area-PGa_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_a381916e2df422a0c89db5471c9c4d41.nii.gz"
"Area-PGp"	9.4	"Area-PGp_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_65aec0498dabf336f51f1ab5a5e1e173.nii.gz"
"Area-PGp"	9.4	"Area-PGp_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_94fab0bde3d23f23ff0554b7d426c912.nii.gz"
"Area-Ia"	3.1	"Area-Ia_l_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_3ecba4e28455cd52544127ad4efce4ca.nii.gz"
"Area-Ia"	3.1	"Area-Ia_r_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_190a0e68cec5c6c22f8afca48aa861c8.nii.gz"
"Area-Id1"	13.1	"Area-Id1_l_N10_nlin2MNI152ASYM2009C_13.1_publicP_d5d83b0e83b5f1315d7c452f48475a08.nii.gz"
"Area-Id1"	13.1	"Area-Id1_r_N10_nlin2MNI152ASYM2009C_13.1_publicP_91c85673b4f142ddaca21d81c9b487ec.nii.gz"
"Area-Id2"	7.1	"Area-Id2_l_N10_nlin2MNI152ASYM2009C_7.1_publicDOI_0e5f3c84eb882f912fab9f05de55526e.nii.gz"
"Area-Id2"	7.1	"Area-Id2_r_N10_nlin2MNI152ASYM2009C_7.1_publicDOI_c6ebe31f46a69917d5ed1202e131b97a.nii.gz"
"Area-Id3"	7.1	"Area-Id3_l_N10_nlin2MNI152ASYM2009C_7.1_publicDOI_f8aa6a1da90dd44c6929c293bceb825f.nii.gz"
"Area-Id3"	7.1	"Area-Id3_r_N10_nlin2MNI152ASYM2009C_7.1_publicDOI_2ee82d739a9ad7fe96b301665bcad52e.nii.gz"
"Area-Id4"	3.1	"Area-Id4_l_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_e96ae430032349aac6a4a61aaee79b4d.nii.gz"
"Area-Id4"	3.1	"Area-Id4_r_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_5389bc4c23b416171b9f8defacac1a0a.nii.gz"
"Area-Id5"	3.1	"Area-Id5_l_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_c4cac3c40faf5b360f496c93d228a5f7.nii.gz"
"Area-Id5"	3.1	"Area-Id5_r_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_9c6734478af4d58b09478ea8a0f4f2ca.nii.gz"
"Area-Id6"	3.1	"Area-Id6_l_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_f9be3b6ea62c4a0e9ee3b360c504be5b.nii.gz"
"Area-Id6"	3.1	"Area-Id6_r_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_dc6814386bbab79325bc1bfb4ca9aa1e.nii.gz"
"Area-Id7"	6.1	"Area-Id7_l_N10_nlin2MNI152ASYM2009C_6.1_publicDOI_ff4f0b96f9355bd5e924191a126e7faa.nii.gz"
"Area-Id7"	6.1	"Area-Id7_r_N10_nlin2MNI152ASYM2009C_6.1_publicDOI_02b5d10dbbb00b886a864301521bdd9c.nii.gz"
"Area-Ig1"	13.1	"Area-Ig1_l_N10_nlin2MNI152ASYM2009C_13.1_publicP_b659cb9b754d41229061b52f2dbeeff0.nii.gz"
"Area-Ig1"	13.1	"Area-Ig1_r_N10_nlin2MNI152ASYM2009C_13.1_publicP_1bf5001025e34de9da6ff59cd3ba048e.nii.gz"
"Area-Ig2"	13.1	"Area-Ig2_l_N10_nlin2MNI152ASYM2009C_13.1_publicP_e1defc10cb006c64ad31bf10ddb5b1a1.nii.gz"
"Area-Ig2"	13.1	"Area-Ig2_r_N10_nlin2MNI152ASYM2009C_13.1_publicP_cf1b3cc5b32d89ea8937c189f218f726.nii.gz"
"Area-Ig3"	3.1	"Area-Ig3_l_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_14d6f93654ca44d3c104fcc601c462bd.nii.gz"
"Area-Ig3"	3.1	"Area-Ig3_r_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_91760180df065f53a08c0c6f0ebd6a1b.nii.gz"
"Area-4a"	9.4	"Area-4a_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_01413787435fa644af34b2913b9771ed.nii.gz"
"Area-4a"	9.4	"Area-4a_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_f91dc988bd91110bcc58057f905dfd3c.nii.gz"
"Area-4p"	9.4	"Area-4p_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_647ca28e87fc9be073617bbe8b5bad86.nii.gz"
"Area-4p"	9.4	"Area-4p_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_2725e886a126b53cfe63447ade13fa56.nii.gz"
"Area-Fo1"	3.4	"Area-Fo1_l_N10_nlin2MNI152ASYM2009C_3.4_publicP_b76752e4ec43a64644f4a66658fed730.nii.gz"
"Area-Fo1"	3.4	"Area-Fo1_r_N10_nlin2MNI152ASYM2009C_3.4_publicP_dc994a89413230daa7a59d4104903cb9.nii.gz"
"Area-Fo2"	3.4	"Area-Fo2_l_N10_nlin2MNI152ASYM2009C_3.4_publicP_9057b123cfeca54e02e5e9efc5a04dc9.nii.gz"
"Area-Fo2"	3.4	"Area-Fo2_r_N10_nlin2MNI152ASYM2009C_3.4_publicP_abfaca459f6612336d3c6bda36e4d1db.nii.gz"
"Area-Fo3"	3.4	"Area-Fo3_l_N10_nlin2MNI152ASYM2009C_3.4_publicP_b35caf53bd38ac05bc10de2a73ec516a.nii.gz"
"Area-Fo3"	3.4	"Area-Fo3_r_N10_nlin2MNI152ASYM2009C_3.4_publicP_c326c00231994112cd4d31e430e76ae5.nii.gz"
"Area-Fo4"	2.1	"Area-Fo4_l_N10_nlin2MNI152ASYM2009C_2.1_publicDOI_859db429081144422ef1ebe055725a08.nii.gz"
"Area-Fo4"	2.1	"Area-Fo4_r_N10_nlin2MNI152ASYM2009C_2.1_publicDOI_71a978cf4004bbc4a5e82338412b2e08.nii.gz"
"Area-Fo5"	2.1	"Area-Fo5_l_N10_nlin2MNI152ASYM2009C_2.1_publicDOI_80964dd50cce23aa6e01dfe8e0467452.nii.gz"
"Area-Fo5"	2.1	"Area-Fo5_r_N10_nlin2MNI152ASYM2009C_2.1_publicDOI_6e4b48db27652889ee3d45efbe0b0465.nii.gz"
"Area-Fo6"	2.1	"Area-Fo6_l_N10_nlin2MNI152ASYM2009C_2.1_publicDOI_374b5da5692230b1dde61b8f24e5a869.nii.gz"
"Area-Fo6"	2.1	"Area-Fo6_r_N10_nlin2MNI152ASYM2009C_2.1_publicDOI_af30bdb7baf3287cd9f417c9e70992e2.nii.gz"
