code,short_name,full_name,components,source,note
24,Ctx_A1_L,"Cortex: Primary Auditory Cortex, Left",Primary Auditory Cortex,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
25,Ctx_PSL_L,"Cortex: PeriSylvian Language Area, Left",PeriSylvian Language Area,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
26,Ctx_SFL_L,"Cortex: Superior Frontal Language Area, Left",Superior Frontal Language Area,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
27,Ctx_PCV_L,"Cortex: PreCuneus Visual Area, Left",PreCuneus Visual Area,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
28,Ctx_STV_L,"Cortex: Superior Temporal Visual Area, Left",Superior Temporal Visual Area,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
29,Ctx_7Pm_L,"Cortex: Medial Area 7P, Left",Medial Area 7P,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
30,Ctx_7m_L,"Cortex: Area 7m, Left",Area 7m,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
31,Ctx_POS1_L,"Cortex: Parieto-Occipital Sulcus Area 1, Left",Parieto-Occipital Sulcus Area 1,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
32,Ctx_23d_L,"Cortex: Area 23d, Left",Area 23d,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
33,Ctx_v23ab_L,"Cortex: Area ventral 23 a+b, Left",Area ventral 23 a+b,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
34,Ctx_d23ab_L,"Cortex: Area dorsal 23 a+, Left",Area dorsal 23 a+,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
35,Ctx_31pv_L,"Cortex: Area 31p ventral, Left",Area 31p ventral,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
36,Ctx_5m_L,"Cortex: Area 5m, Left",Area 5m,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
37,Ctx_5mv_L,"Cortex: Area 5m ventral, Left",Area 5m ventral,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
38,Ctx_23c_L,"Cortex: Area 23c, Left",Area 23c,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
39,Ctx_5L_L,"Cortex: Area 5L, Left",Area 5L,https://www.humanconnectome.org/storage/app/media/documentation/AABC2/AreaNamesAndIndices%20-%20NIHMS68870-supplement-Neuroanatomical_Supplementary_Results.pdf ; https://github.com/canlab/Neuroimaging_Pattern_Masks/blob/master/Atlases_and_parcellations/2024_CANLab_atlas/src/openCANLab2024_MNI152NLin6Asym_labels.csv,
