ParcelID,Hem,Centroid_MNI,Community,,,Shine_order,cifti2shine_Order,Label Name,Network,RegionNumber,MNI1,MNI2,MNI3,shine2cifti_order
201,R,38.1 -22.4 60.3,SMhand,,,201,288,R_SMhand_25,SMhand,25,38.1,-22.4,60.3,275
202,R,19.7 -25 65.2,SMhand,,,202,289,R_SMhand_26,SMhand,26,19.7,-25,65.2,23
203,R,29.9 -7.8 47.4,DorsalAttn,,,203,191,R_DorsalAttn_22,DorsalAttn,22,29.9,-7.8,47.4,60
204,R,12.4 -28.3 69.6,SMhand,,,204,290,R_SMhand_27,SMhand,27,12.4,-28.3,69.6,61
205,R,29.2 -13.5 64.2,SMhand,,,205,291,R_SMhand_28,SMhand,28,29.2,-13.5,64.2,62
206,R,17 -16.9 70.9,SMhand,,,206,292,R_SMhand_29,SMhand,29,17,-16.9,70.9,75
207,R,20.9 -6.4 65,SMhand,,,207,293,R_SMhand_30,SMhand,30,20.9,-6.4,65,79
208,R,22.6 5.6 57.6,DorsalAttn,,,208,192,R_DorsalAttn_23,DorsalAttn,23,22.6,5.6,57.6,80
209,R,29.5 -42.5 60.4,SMhand,,,209,294,R_SMhand_31,SMhand,31,29.5,-42.5,60.4,85
210,R,34.2 -40.6 51.6,SMhand,,,210,295,R_SMhand_32,SMhand,32,34.2,-40.6,51.6,86
211,R,38.8 -42.6 40.4,DorsalAttn,,,211,193,R_DorsalAttn_24,DorsalAttn,24,38.8,-42.6,40.4,158
212,R,53.9 -8.3 26.1,SMmouth,,,212,308,R_SMmouth_7,SMmouth,7,53.9,-8.3,26.1,161
213,R,39.6 -31.5 39.7,SMhand,,,213,296,R_SMhand_33,SMhand,33,39.6,-31.5,39.7,221
214,R,28 -34.8 63.1,SMhand,,,214,297,R_SMhand_34,SMhand,34,28,-34.8,63.1,222
215,R,39.2 -34.6 57.5,SMhand,,,215,298,R_SMhand_35,SMhand,35,39.2,-34.6,57.5,226
216,R,37.3 -25.9 50.9,SMhand,,,216,299,R_SMhand_36,SMhand,36,37.3,-25.9,50.9,228
217,R,48.7 -26.1 52.2,SMhand,,,217,300,R_SMhand_37,SMhand,37,48.7,-26.1,52.2,229
218,R,47.8 -15.1 49.3,SMmouth,,,218,309,R_SMmouth_8,SMmouth,8,47.8,-15.1,49.3,231
219,R,57.5 -40.3 34.7,CinguloOperc,,,219,153,R_CinguloOperc_29,CinguloOperc,29,57.5,-40.3,34.7,237
220,R,48.9 -53 28.6,Default,,,220,73,R_Default_26,Default,26,48.9,-53,28.6,241
221,R,57.5 -45.3 9,VentralAttn,,,221,213,R_VentralAttn_12,VentralAttn,12,57.5,-45.3,9,242
222,R,60.9 -38.7 1.7,VentralAttn,,,222,214,R_VentralAttn_13,VentralAttn,13,60.9,-38.7,1.7,243
223,R,54.9 -27 29.6,CinguloOperc,,,223,154,R_CinguloOperc_30,CinguloOperc,30,54.9,-27,29.6,332
224,R,36.4 -30.7 19.4,Auditory,,,224,323,R_Auditory_14,Auditory,14,36.4,-30.7,19.4,333
225,R,62.5 -25.6 -5.5,Default,,,225,74,R_Default_27,Default,27,62.5,-25.6,-5.5,5
226,R,57.1 -17 -2.6,VentralAttn,,,226,215,R_VentralAttn_14,VentralAttn,14,57.1,-17,-2.6,8
227,R,53.8 -15.8 5.2,Auditory,,,227,324,R_Auditory_15,Auditory,15,53.8,-15.8,5.2,15
228,R,47.4 -39.6 13.2,VentralAttn,,,228,216,R_VentralAttn_15,VentralAttn,15,47.4,-39.6,13.2,16
229,R,45.5 -37.3 3.4,VentralAttn,,,229,217,R_VentralAttn_16,VentralAttn,16,45.5,-37.3,3.4,17
230,R,59.2 -38.6 14.6,Auditory,,,230,325,R_Auditory_16,Auditory,16,59.2,-38.6,14.6,20
231,R,48.5 -26.5 -0.1,VentralAttn,,,231,218,R_VentralAttn_17,VentralAttn,17,48.5,-26.5,-0.1,90
