areaname;pmapversion;colin27_l;colin27_r;icbm152asym2009c_l;icbm152asym2009c_r;JulichBrain157Atlas;JulichBrain175Atlas;fsaverage
Area-Fo1;5.2;Area-Fo1_pmap_l_N10_nlin2Stdcolin27_5.2_public_dfad2c1bdab565f634b5445ad46fd056.nii.gz;Area-Fo1_pmap_r_N10_nlin2Stdcolin27_5.2_public_dfd189766f6a1f5eafc6690e3ef3bbd7.nii.gz;Area-Fo1_pmap_l_N10_nlin2ICBM152asym2009c_5.2_public_9c6e0d367211686d11289a38be927b86.nii.gz;Area-Fo1_pmap_r_N10_nlin2ICBM152asym2009c_5.2_public_822a859bbc97b881eead99564d5e996f.nii.gz;1;1;1
Area-Fo2;5.2;Area-Fo2_pmap_l_N10_nlin2Stdcolin27_5.2_public_2d3943d56fcc52f54ad55cbba15db587.nii.gz;Area-Fo2_pmap_r_N10_nlin2Stdcolin27_5.2_public_d102385f8738ef6f2d329496cf26b576.nii.gz;Area-Fo2_pmap_l_N10_nlin2ICBM152asym2009c_5.2_public_fd4d648a8a2f047e2fa0928da2a68dc6.nii.gz;Area-Fo2_pmap_r_N10_nlin2ICBM152asym2009c_5.2_public_ab337ad170b91627020ff2dcc0516bfc.nii.gz;1;1;1
Area-Fo3;5.2;Area-Fo3_pmap_l_N10_nlin2Stdcolin27_5.2_public_8b2af70967046c169aa024866b76da29.nii.gz;Area-Fo3_pmap_r_N10_nlin2Stdcolin27_5.2_public_5624efc582d8e468307993b0ded5a962.nii.gz;Area-Fo3_pmap_l_N10_nlin2ICBM152asym2009c_5.2_public_e859c1294e40b27d945f52ae6156d93a.nii.gz;Area-Fo3_pmap_r_N10_nlin2ICBM152asym2009c_5.2_public_30cde82153ca9299f53cd4e69b5039be.nii.gz;1;1;1
Area-Fo4;3.2;Area-Fo4_pmap_l_N10_nlin2Stdcolin27_3.2_public_5fa9f6decb33f853984e18a4c8d609ae.nii.gz;Area-Fo4_pmap_r_N10_nlin2Stdcolin27_3.2_public_8aa448ef897ed0be3fa1b27545c5ba3d.nii.gz;Area-Fo4_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_ef0ed55f587b5bd64e197ad2fd75ddf8.nii.gz;Area-Fo4_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_5baf2b2f9a6743a1d358283b516a9f0d.nii.gz;1;1;1
Area-Fo5;3.2;Area-Fo5_pmap_l_N10_nlin2Stdcolin27_3.2_public_3625d93190a95c667f85464391820f2e.nii.gz;Area-Fo5_pmap_r_N10_nlin2Stdcolin27_3.2_public_374cb906591ab265fdecf88edf4a601d.nii.gz;Area-Fo5_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_51ca7f5815f32ed9e0cd61a343c2fab4.nii.gz;Area-Fo5_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_e6fea18cfe2e40f95b8b0026f496cced.nii.gz;1;1;1
Area-Fo6;3.2;Area-Fo6_pmap_l_N10_nlin2Stdcolin27_3.2_public_ec9ee7e1f6f6b71c5ee29196cdc024d7.nii.gz;Area-Fo6_pmap_r_N10_nlin2Stdcolin27_3.2_public_ea2a5f8bf4afa6ecbc3b20c3d1da7862.nii.gz;Area-Fo6_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_f3123640ef19659a50021c226f34c744.nii.gz;Area-Fo6_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_137e203aa33900133dda6b74f50779ad.nii.gz;1;1;1
Area-Fo7;3.2;Area-Fo7_pmap_l_N10_nlin2Stdcolin27_3.2_public_4c72844d128079cf3c3c3dec9cc8f827.nii.gz;Area-Fo7_pmap_r_N10_nlin2Stdcolin27_3.2_public_4732d901d3b444191112cb481bb6f402.nii.gz;Area-Fo7_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_629881084222a0d8e1ea174cad445990.nii.gz;Area-Fo7_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_89ae187309bf966ac9c22780eba0dddb.nii.gz;1;1;1
Area-Fp1;5.1;Area-Fp1_pmap_l_N10_nlin2Stdcolin27_5.1_public_13d1fd6a7fae68363e5bd11509b41773.nii.gz;Area-Fp1_pmap_r_N10_nlin2Stdcolin27_5.1_public_ce310fa501f9e7cd7237cc3d0828a53b.nii.gz;Area-Fp1_pmap_l_N10_nlin2ICBM152asym2009c_5.1_public_ace90ec5f557bacb5e248c00e025c620.nii.gz;Area-Fp1_pmap_r_N10_nlin2ICBM152asym2009c_5.1_public_3f3048f2da28e694747ee51a001f6830.nii.gz;1;1;1
Area-Fp2;5.1;Area-Fp2_pmap_l_N10_nlin2Stdcolin27_5.1_public_bbcf9e86c50902622de833ad3f8675ec.nii.gz;Area-Fp2_pmap_r_N10_nlin2Stdcolin27_5.1_public_270f779e72bc5d2a24e3c1b141701ee2.nii.gz;Area-Fp2_pmap_l_N10_nlin2ICBM152asym2009c_5.1_public_61cff8866c65b30304ea4bc91c720c4a.nii.gz;Area-Fp2_pmap_r_N10_nlin2ICBM152asym2009c_5.1_public_91b1c7bd31508392d58e4c4ae72fec12.nii.gz;1;1;1
Area-IFJ1;3.2;Area-IFJ1_pmap_l_N10_nlin2Stdcolin27_3.2_public_796978c333952620cc2c28d912e934d8.nii.gz;Area-IFJ1_pmap_r_N10_nlin2Stdcolin27_3.2_public_4bd137f8250acdada24fb549de334fc2.nii.gz;Area-IFJ1_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_cade192a7eaa78743277eda759573cf4.nii.gz;Area-IFJ1_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_15a853e6e271673ccf426d9eefb0d8ad.nii.gz;1;1;1
