areaname;pmapversion;colin27_l;colin27_r;icbm152asym2009c_l;icbm152asym2009c_r;JulichBrain157Atlas;JulichBrain175Atlas;fsaverage
Area-Id7;8.1;Area-Id7_pmap_l_N10_nlin2Stdcolin27_8.1_public_5d41cc72e64aee186272592a358461d4.nii.gz;Area-Id7_pmap_r_N10_nlin2Stdcolin27_8.1_public_4147b5478cebb305f557f7821f3c29d2.nii.gz;Area-Id7_pmap_l_N10_nlin2ICBM152asym2009c_8.1_public_0dcc803de8d1cfcdc0c6d9db112cb75e.nii.gz;Area-Id7_pmap_r_N10_nlin2ICBM152asym2009c_8.1_public_b3ef2d64fd97fbede7674d9b42ec3f7f.nii.gz;1;1;1
Area-Id8;4.0;Area-Id8_pmap_l_N10_nlin2Stdcolin27_4.0_public_934328798b24891d52041661ac3b12f3.nii.gz;Area-Id8_pmap_r_N10_nlin2Stdcolin27_4.0_public_c9415aa990201f5e3e23a233e67f3ad8.nii.gz;Area-Id8_pmap_l_N10_nlin2ICBM152asym2009c_4.0_public_ec5e96184ca294d2aeeb660420ef3284.nii.gz;Area-Id8_pmap_r_N10_nlin2ICBM152asym2009c_4.0_public_abec915175623ef6ad8976e98b8c8342.nii.gz;1;1;1
Area-Id9;4.0;Area-Id9_pmap_l_N10_nlin2Stdcolin27_4.0_public_61d11d0ffaad1cfb93f76573cdacb4b2.nii.gz;Area-Id9_pmap_r_N10_nlin2Stdcolin27_4.0_public_15b434839db4faf3af73779e81c7b2c3.nii.gz;Area-Id9_pmap_l_N10_nlin2ICBM152asym2009c_4.0_public_59335166d7186acee7ca6859ae5633f6.nii.gz;Area-Id9_pmap_r_N10_nlin2ICBM152asym2009c_4.0_public_91081f2c347647843f50f47d462252e7.nii.gz;1;1;1
Area-Ig1;14.2;Area-Ig1_pmap_l_N10_nlin2Stdcolin27_14.2_public_18221853a3fbfc681ec2b679382f6d3c.nii.gz;Area-Ig1_pmap_r_N10_nlin2Stdcolin27_14.2_public_abe70671418d4ab641ebb5c57cf5c864.nii.gz;Area-Ig1_pmap_l_N10_nlin2ICBM152asym2009c_14.2_public_9362c360b00c7139259cb537e59c1d25.nii.gz;Area-Ig1_pmap_r_N10_nlin2ICBM152asym2009c_14.2_public_196a2a076c4db0b24cdb5954dd486bb4.nii.gz;1;1;1
Area-Ig2;14.2;Area-Ig2_pmap_l_N10_nlin2Stdcolin27_14.2_public_73c90ab3a9261dbd631c8694ff1d46d6.nii.gz;Area-Ig2_pmap_r_N10_nlin2Stdcolin27_14.2_public_9a7a17f0ba12cde5ba63a5f461778268.nii.gz;Area-Ig2_pmap_l_N10_nlin2ICBM152asym2009c_14.2_public_c3ddb8bddaca3c48d426e3408aa7e8e6.nii.gz;Area-Ig2_pmap_r_N10_nlin2ICBM152asym2009c_14.2_public_ddf58162df95ef45b30bef3bf217ccb6.nii.gz;1;1;1
Area-Ig3;5.1;Area-Ig3_pmap_l_N10_nlin2Stdcolin27_5.1_public_673dd6891bb7332207f355960b7231b0.nii.gz;Area-Ig3_pmap_r_N10_nlin2Stdcolin27_5.1_public_d1bea543d09dc8fa50e02a1a12014e11.nii.gz;Area-Ig3_pmap_l_N10_nlin2ICBM152asym2009c_5.1_public_a8accdf1d37cd59bdc51442adf42586e.nii.gz;Area-Ig3_pmap_r_N10_nlin2ICBM152asym2009c_5.1_public_b548dbc9f92b3e4554c3aa72c3a72336.nii.gz;1;1;0
Area-MFG1;9.0;Area-MFG1_pmap_l_N10_nlin2Stdcolin27_9.0_public_6114d32558eaa277bb4d46f0524ce52f.nii.gz;Area-MFG1_pmap_r_N10_nlin2Stdcolin27_9.0_public_4488b8a809fbb417a478f441f74ef8ca.nii.gz;Area-MFG1_pmap_l_N10_nlin2ICBM152asym2009c_9.0_public_0522196a74472f46a75270ff8704f2fa.nii.gz;Area-MFG1_pmap_r_N10_nlin2ICBM152asym2009c_9.0_public_8f6989ea959ef23f6d7e366e936fd134.nii.gz;1;1;1
Area-MFG2;9.0;Area-MFG2_pmap_l_N10_nlin2Stdcolin27_9.0_public_ba39198ca8bf42d6ccfd2cc643619ad4.nii.gz;Area-MFG2_pmap_r_N10_nlin2Stdcolin27_9.0_public_42b40d2cab2da1ca51fa66d8f52e60ce.nii.gz;Area-MFG2_pmap_l_N10_nlin2ICBM152asym2009c_9.0_public_627e4ab96837e93a4d7a7a4d1ac6c362.nii.gz;Area-MFG2_pmap_r_N10_nlin2ICBM152asym2009c_9.0_public_bef7fe770eda1ce1592da1a1cb922a52.nii.gz;1;1;1
Area-OP1;12.2;Area-OP1_pmap_l_N10_nlin2Stdcolin27_12.2_public_cfa7a81c353d2d8175262aa8a5261f5e.nii.gz;Area-OP1_pmap_r_N10_nlin2Stdcolin27_12.2_public_310e29a800afaec4d777714418f70509.nii.gz;Area-OP1_pmap_l_N10_nlin2ICBM152asym2009c_12.2_public_49ad466922f931fb3e121f1d78ec25dd.nii.gz;Area-OP1_pmap_r_N10_nlin2ICBM152asym2009c_12.2_public_b7b4b214da6a2cf40db1d0380a695f48.nii.gz;1;1;1
Area-OP2;12.2;Area-OP2_pmap_l_N10_nlin2Stdcolin27_12.2_public_40bd0a9aaa657d7c4cb74a3a603ea17e.nii.gz;Area-OP2_pmap_r_N10_nlin2Stdcolin27_12.2_public_709d2b22ef5e0d420f042e172c407595.nii.gz;Area-OP2_pmap_l_N10_nlin2ICBM152asym2009c_12.2_public_53e8f50b136ee6d19242e37fa763db4d.nii.gz;Area-OP2_pmap_r_N10_nlin2ICBM152asym2009c_12.2_public_9ae655ed7fea11e4e2efa44c64c0524c.nii.gz;1;1;0
Area-OP3;12.2;Area-OP3_pmap_l_N10_nlin2Stdcolin27_12.2_public_0923bb66427d768e4a1d65488de76d4b.nii.gz;Area-OP3_pmap_r_N10_nlin2Stdcolin27_12.2_public_4c463ff14db5054ea55bdfc44f3f4c3f.nii.gz;Area-OP3_pmap_l_N10_nlin2ICBM152asym2009c_12.2_public_eec5ab708f4bb01ecc0ffee23a0b9112.nii.gz;Area-OP3_pmap_r_N10_nlin2ICBM152asym2009c_12.2_public_6c61e32686388e05cdad5ccbeb88c445.nii.gz;1;1;1
Area-OP4;12.2;Area-OP4_pmap_l_N10_nlin2Stdcolin27_12.2_public_f4dc37ccf911e351008136b0605f9d0c.nii.gz;Area-OP4_pmap_r_N10_nlin2Stdcolin27_12.2_public_e08945fc38646d2c6ea6d8031eab1516.nii.gz;Area-OP4_pmap_l_N10_nlin2ICBM152asym2009c_12.2_public_686d0a4a3f545c744783613ffbf292a9.nii.gz;Area-OP4_pmap_r_N10_nlin2ICBM152asym2009c_12.2_public_8952027d4b0cc0ea64b2636f2596547c.nii.gz;1;1;1
Area-Op5;3.2;Area-Op5_pmap_l_N10_nlin2Stdcolin27_3.2_public_cedf748a6eb642e6158d19092de8aed4.nii.gz;Area-Op5_pmap_r_N10_nlin2Stdcolin27_3.2_public_0b4a05e69278b86b70b1004a7c89bd3d.nii.gz;Area-Op5_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_6407a8f3688d409b20f66d2fb4019dfb.nii.gz;Area-Op5_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_b80261d3e6527c4682ed41d5e93a7fd7.nii.gz;1;1;1
Area-Op6;3.2;Area-Op6_pmap_l_N10_nlin2Stdcolin27_3.2_public_031b287124ae1d43de62a7fb8416f56b.nii.gz;Area-Op6_pmap_r_N10_nlin2Stdcolin27_3.2_public_b61132bb1a66e027ef07e721910cf6a6.nii.gz;Area-Op6_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_64804a0a3c574052e9c8aa4a5db16b31.nii.gz;Area-Op6_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_7c79af13ce3990dbfb44c1fe5f3e5316.nii.gz;1;1;1
Area-Op7;3.2;Area-Op7_pmap_l_N10_nlin2Stdcolin27_3.2_public_83e46c99404013736b44d4849d426797.nii.gz;Area-Op7_pmap_r_N10_nlin2Stdcolin27_3.2_public_8ff9da9d604c1be78817afd0165063e5.nii.gz;Area-Op7_pmap_l_N10_nlin2ICBM152asym2009c_3.2_public_e48e6bf873eda6250304bcfe6bbb1503.nii.gz;Area-Op7_pmap_r_N10_nlin2ICBM152asym2009c_3.2_public_373171c993057361061711b3068c7d73.nii.gz;1;1;1
Area-Op8;6.2;Area-Op8_pmap_l_N10_nlin2Stdcolin27_6.2_public_a136e548f7a61016bc7245606cc8169b.nii.gz;Area-Op8_pmap_r_N10_nlin2Stdcolin27_6.2_public_13eb630733525d7cc0d1f7d1038bbcc5.nii.gz;Area-Op8_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_02773d41337715b4aab20475fc07e4a0.nii.gz;Area-Op8_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_23f6b750a6dbace45adbef9113a48335.nii.gz;1;1;1
Area-Op9;6.2;Area-Op9_pmap_l_N10_nlin2Stdcolin27_6.2_public_d160880398c3a7b7cde2bb571b7cea00.nii.gz;Area-Op9_pmap_r_N10_nlin2Stdcolin27_6.2_public_0499f0fc1b057199d76b392d589a8049.nii.gz;Area-Op9_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_34bd392a15bd466437328262e5bfb40a.nii.gz;Area-Op9_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_579baba213b26f1b21ba6a321416da58.nii.gz;1;1;1
Area-PF;11.2;Area-PF_pmap_l_N10_nlin2Stdcolin27_11.2_public_b3c1f94978f7460ef6e0ef9231db6344.nii.gz;Area-PF_pmap_r_N10_nlin2Stdcolin27_11.2_public_bb7ecaabdff4e6d44b028e9490d90a79.nii.gz;Area-PF_pmap_l_N10_nlin2ICBM152asym2009c_11.2_public_98625b8444b60cb573a2526048e57be3.nii.gz;Area-PF_pmap_r_N10_nlin2ICBM152asym2009c_11.2_public_bcb97befc877bc8bce4bc15d84e121e8.nii.gz;1;1;1
Area-PFcm;11.2;Area-PFcm_pmap_l_N10_nlin2Stdcolin27_11.2_public_559b44fa2c19e19432a10622287571f0.nii.gz;Area-PFcm_pmap_r_N10_nlin2Stdcolin27_11.2_public_3f808b4121b14ab96be6ddd90470f386.nii.gz;Area-PFcm_pmap_l_N10_nlin2ICBM152asym2009c_11.2_public_0587a0099773df35b0f5539435d305c2.nii.gz;Area-PFcm_pmap_r_N10_nlin2ICBM152asym2009c_11.2_public_a9174ea06b8df12cc6b3c13a2adf5c00.nii.gz;1;1;1
Area-PFm;11.2;Area-PFm_pmap_l_N10_nlin2Stdcolin27_11.2_public_1e135f7ba5bb1b511b9483189f10bd16.nii.gz;Area-PFm_pmap_r_N10_nlin2Stdcolin27_11.2_public_6c8a9e109e30fd4a38bf7fa2549face7.nii.gz;Area-PFm_pmap_l_N10_nlin2ICBM152asym2009c_11.2_public_713823644d5d7e9253f3651a1e83d50a.nii.gz;Area-PFm_pmap_r_N10_nlin2ICBM152asym2009c_11.2_public_623a478bb156a3cb700398b389c094f8.nii.gz;1;1;1
Area-PFop;11.2;Area-PFop_pmap_l_N10_nlin2Stdcolin27_11.2_public_7f231290f39f018a0ba79830af3e700f.nii.gz;Area-PFop_pmap_r_N10_nlin2Stdcolin27_11.2_public_bc7421cc2e7e52bd4e9ac4f5c67faa93.nii.gz;Area-PFop_pmap_l_N10_nlin2ICBM152asym2009c_11.2_public_25b10aa4c66190c1dfc8fbb9918e940d.nii.gz;Area-PFop_pmap_r_N10_nlin2ICBM152asym2009c_11.2_public_34bdf31bf1640a121e307238ff8b6cf2.nii.gz;1;1;1
Area-PFt;11.2;Area-PFt_pmap_l_N10_nlin2Stdcolin27_11.2_public_f13ac36a27fab5a1524bb5b963798b9b.nii.gz;Area-PFt_pmap_r_N10_nlin2Stdcolin27_11.2_public_2bd603cad9ea3c1ade7c864675163921.nii.gz;Area-PFt_pmap_l_N10_nlin2ICBM152asym2009c_11.2_public_08dc0988c8996d1db8474f34a2214f9c.nii.gz;Area-PFt_pmap_r_N10_nlin2ICBM152asym2009c_11.2_public_37928eebd74ec464a580e0ed441dfeb4.nii.gz;1;1;1
Area-PGa;11.2;Area-PGa_pmap_l_N10_nlin2Stdcolin27_11.2_public_f6efd3562ebcdfe186dbd05cd4db658e.nii.gz;Area-PGa_pmap_r_N10_nlin2Stdcolin27_11.2_public_dcba73a67276727558b4e6f48320960e.nii.gz;Area-PGa_pmap_l_N10_nlin2ICBM152asym2009c_11.2_public_a809fe0c6c1f282ec223dd4e3e2b828f.nii.gz;Area-PGa_pmap_r_N10_nlin2ICBM152asym2009c_11.2_public_60897d242225609693c99372d2417efb.nii.gz;1;1;1
Area-PGp;11.2;Area-PGp_pmap_l_N10_nlin2Stdcolin27_11.2_public_c05c616e1f446bb34b886067edd27dfb.nii.gz;Area-PGp_pmap_r_N10_nlin2Stdcolin27_11.2_public_7aad7b16e09e86946787936e67bcc2b4.nii.gz;Area-PGp_pmap_l_N10_nlin2ICBM152asym2009c_11.2_public_3af2e072b7c716d77d9cc5741acf32dd.nii.gz;Area-PGp_pmap_r_N10_nlin2ICBM152asym2009c_11.2_public_db17b460de0b41245d22faca56fd491e.nii.gz;1;1;1
Area-Ph1;7.2;Area-Ph1_pmap_l_N10_nlin2Stdcolin27_7.2_public_44519bb13063414aa2e8d7d056779dce.nii.gz;Area-Ph1_pmap_r_N10_nlin2Stdcolin27_7.2_public_9d27e0a11d0ff40d712bedcab676a438.nii.gz;Area-Ph1_pmap_l_N10_nlin2ICBM152asym2009c_7.2_public_9bcdc2d3410d6cc5064abbdc0dcfb715.nii.gz;Area-Ph1_pmap_r_N10_nlin2ICBM152asym2009c_7.2_public_15e1053b93a72c4b48a16cd19e478e2d.nii.gz;1;1;1
Area-Ph2;7.2;Area-Ph2_pmap_l_N10_nlin2Stdcolin27_7.2_public_6a3a66a29852730a4dca06bd5574a5f0.nii.gz;Area-Ph2_pmap_r_N10_nlin2Stdcolin27_7.2_public_a8d4ca874d7058dc06c8cba2b9e026ed.nii.gz;Area-Ph2_pmap_l_N10_nlin2ICBM152asym2009c_7.2_public_2cc8fd589e685ff39e915a47e681dca0.nii.gz;Area-Ph2_pmap_r_N10_nlin2ICBM152asym2009c_7.2_public_e769f25c5c6bf2eef22415e57efc3d0a.nii.gz;1;1;1
Area-Ph3;7.2;Area-Ph3_pmap_l_N10_nlin2Stdcolin27_7.2_public_8b4d37773eb2e73c598c5dd4818f5c56.nii.gz;Area-Ph3_pmap_r_N10_nlin2Stdcolin27_7.2_public_dfd1c8476804c1fc3784f8f42d03999e.nii.gz;Area-Ph3_pmap_l_N10_nlin2ICBM152asym2009c_7.2_public_cd10de12da7323ecf2516edeebda7a0f.nii.gz;Area-Ph3_pmap_r_N10_nlin2ICBM152asym2009c_7.2_public_ad080e84cc2e184c79e913df1369cd57.nii.gz;1;1;1
Area-SFS1;9.0;Area-SFS1_pmap_l_N10_nlin2Stdcolin27_9.0_public_12538dfa5d89c1ce8d690904e5d2ccb0.nii.gz;Area-SFS1_pmap_r_N10_nlin2Stdcolin27_9.0_public_ec6c66ab92a89277a744274b832003c0.nii.gz;Area-SFS1_pmap_l_N10_nlin2ICBM152asym2009c_9.0_public_4e2c80a361becd7686c23c6b010cf229.nii.gz;Area-SFS1_pmap_r_N10_nlin2ICBM152asym2009c_9.0_public_9012e25e11f6c7cbeaa2f0f21c9b37a0.nii.gz;1;1;1
Area-SFS2;9.0;Area-SFS2_pmap_l_N10_nlin2Stdcolin27_9.0_public_5991accbce23b5a91dc78f2dcdd993e6.nii.gz;Area-SFS2_pmap_r_N10_nlin2Stdcolin27_9.0_public_e80e63c8e74723c5b47c4a685790ee37.nii.gz;Area-SFS2_pmap_l_N10_nlin2ICBM152asym2009c_9.0_public_cc3be0f34e79c6fb5714c83571386f7c.nii.gz;Area-SFS2_pmap_r_N10_nlin2ICBM152asym2009c_9.0_public_8f8aed9aa8bc524f48a73bd8cedab695.nii.gz;1;1;1
Area-STS1;5.3;Area-STS1_pmap_l_N10_nlin2Stdcolin27_5.3_public_c1ac698445aa4ef4847d88846bd12e12.nii.gz;Area-STS1_pmap_r_N10_nlin2Stdcolin27_5.3_public_ba2af2fc5b0a333770161252a4e585e6.nii.gz;Area-STS1_pmap_l_N10_nlin2ICBM152asym2009c_5.3_public_1240897be9b81a1f203153e8732ea065.nii.gz;Area-STS1_pmap_r_N10_nlin2ICBM152asym2009c_5.3_public_b092b7834e8118865300e94824df7cbc.nii.gz;1;1;1
Area-STS2;5.3;Area-STS2_pmap_l_N10_nlin2Stdcolin27_5.3_public_4f5f72b50f3fe45e2f52062b015d17da.nii.gz;Area-STS2_pmap_r_N10_nlin2Stdcolin27_5.3_public_d57f94136109ef7af5373ad33fd9163e.nii.gz;Area-STS2_pmap_l_N10_nlin2ICBM152asym2009c_5.3_public_775aa554a447c811dd68a8656a281973.nii.gz;Area-STS2_pmap_r_N10_nlin2ICBM152asym2009c_5.3_public_b30c3f066b7b7d119e68cd2ef0cbbce7.nii.gz;1;1;1
Area-TE-1.0;6.2;Area-TE-1.0_pmap_l_N10_nlin2Stdcolin27_6.2_public_f3a802ef208b63fadc0d1b28726e4abd.nii.gz;Area-TE-1.0_pmap_r_N10_nlin2Stdcolin27_6.2_public_0f6a081caa3f20a185157ace40748db6.nii.gz;Area-TE-1.0_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_f4d8ccf91eca83cb18cd54f2ea04036c.nii.gz;Area-TE-1.0_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_04f152b6ad0157316d626b2a1c36dca8.nii.gz;1;1;1
Area-TE-1.1;6.2;Area-TE-1.1_pmap_l_N10_nlin2Stdcolin27_6.2_public_e43c9f2224a6266e3a9acc7f79b9f885.nii.gz;Area-TE-1.1_pmap_r_N10_nlin2Stdcolin27_6.2_public_398ba1369f8bf46e8f0a3b4e4c5444d3.nii.gz;Area-TE-1.1_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_a41562b27e7cdfe55b4c2900a4f017f3.nii.gz;Area-TE-1.1_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_aab58ece8a2d729900ffb14cd22423a6.nii.gz;1;1;1
Area-TE-1.2;6.2;Area-TE-1.2_pmap_l_N10_nlin2Stdcolin27_6.2_public_7e9f6a20dac7c3670cc0b0c293e58367.nii.gz;Area-TE-1.2_pmap_r_N10_nlin2Stdcolin27_6.2_public_c09fdc082e938888beea815aca594406.nii.gz;Area-TE-1.2_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_b7190b44bd3b277403dbad7d2d5bf65c.nii.gz;Area-TE-1.2_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_e19bb256b7c1ff5f3d850bb9284d647c.nii.gz;1;1;1
Area-TE-2.1;6.2;Area-TE-2.1_pmap_l_N10_nlin2Stdcolin27_6.2_public_766a50650a46db545a15d946bbaba9f7.nii.gz;Area-TE-2.1_pmap_r_N10_nlin2Stdcolin27_6.2_public_b73295ab0d75186041f702c9e3d79a14.nii.gz;Area-TE-2.1_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_23d3c5bd0c0132b01237f142cb2fab67.nii.gz;Area-TE-2.1_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_8263edc439aa6ce764111c4bcf4a8d6f.nii.gz;1;1;1
Area-TE-2.2;6.2;Area-TE-2.2_pmap_l_N10_nlin2Stdcolin27_6.2_public_483fc8013c319690e0367baf95f13a6b.nii.gz;Area-TE-2.2_pmap_r_N10_nlin2Stdcolin27_6.2_public_20afb712ed258c64a3cc48c7f5c9e156.nii.gz;Area-TE-2.2_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_9f3cfe65658dbf1b2f1fb2aa8e4168ae.nii.gz;Area-TE-2.2_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_3a72ee115c1817be68ffd87fb0edb743.nii.gz;1;1;1
Area-TE-3;6.2;Area-TE-3_pmap_l_N10_nlin2Stdcolin27_6.2_public_dfbae8b8f5b4a5dd8399eb31816ad8a6.nii.gz;Area-TE-3_pmap_r_N10_nlin2Stdcolin27_6.2_public_c5c302c4ace880a723a9cba5479ed668.nii.gz;Area-TE-3_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_4348254b96401b2587b9b98e4869ad8d.nii.gz;Area-TE-3_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_e058bd70ab1b380f2bda5e14438e02a3.nii.gz;1;1;1
Area-TI;6.2;Area-TI_pmap_l_N10_nlin2Stdcolin27_6.2_public_6d0cb72829f9a9b8531d8add6a63979b.nii.gz;Area-TI_pmap_r_N10_nlin2Stdcolin27_6.2_public_656bbacca9ec4cbe8a07d1ea461d8a63.nii.gz;Area-TI_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_893f9ec02beae03fa2c4a0eef0f131dd.nii.gz;Area-TI_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_b2d798cbe0d508449d697eccf142c42d.nii.gz;1;1;1
Area-TPJ;6.2;Area-TPJ_pmap_l_N10_nlin2Stdcolin27_6.2_public_12520ff9e985f5b463f5aa595d0780dc.nii.gz;Area-TPJ_pmap_r_N10_nlin2Stdcolin27_6.2_public_8e5fd1cd13cf15ea4ef7ea7a62a28b96.nii.gz;Area-TPJ_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_47b5bda9486e193e9e5003a689b2ea48.nii.gz;Area-TPJ_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_1a7dd4aeaaa5a17ae02587eb9d3a01f8.nii.gz;1;1;1
Area-TeI;6.2;Area-TeI_pmap_l_N10_nlin2Stdcolin27_6.2_public_16b41ba77f621457904be132632a8c10.nii.gz;Area-TeI_pmap_r_N10_nlin2Stdcolin27_6.2_public_2d27ff3d009f434b0bbf4c766f5bef03.nii.gz;Area-TeI_pmap_l_N10_nlin2ICBM152asym2009c_6.2_public_2f2d876e4fcc39b6748e0be6a94fc208.nii.gz;Area-TeI_pmap_r_N10_nlin2ICBM152asym2009c_6.2_public_deeede797dee36b3c7bf87f429d396b0.nii.gz;1;1;1
Area-hIP1;7.2;Area-hIP1_pmap_l_N10_nlin2Stdcolin27_7.2_public_1b7070271159579a31872a1470f2ae8f.nii.gz;Area-hIP1_pmap_r_N10_nlin2Stdcolin27_7.2_public_076041c8de858b80e59f7618089d60e6.nii.gz;Area-hIP1_pmap_l_N10_nlin2ICBM152asym2009c_7.2_public_c27ad606071e86224e101390a4a125f4.nii.gz;Area-hIP1_pmap_r_N10_nlin2ICBM152asym2009c_7.2_public_e7a050b34cc1a17d0f66e29b78bd2e58.nii.gz;1;1;1
Area-hIP2;7.2;Area-hIP2_pmap_l_N10_nlin2Stdcolin27_7.2_public_00bfe1f4017ff4d5d0dbf8b821177f57.nii.gz;Area-hIP2_pmap_r_N10_nlin2Stdcolin27_7.2_public_54c63e31f2bdb752de91697793d5f4cb.nii.gz;Area-hIP2_pmap_l_N10_nlin2ICBM152asym2009c_7.2_public_4037a10c3c4b3cd2029ffb38c200eacc.nii.gz;Area-hIP2_pmap_r_N10_nlin2ICBM152asym2009c_7.2_public_930cde3c619079081ef360cf4351f71f.nii.gz;1;1;1
Area-hIP3;9.2;Area-hIP3_pmap_l_N10_nlin2Stdcolin27_9.2_public_8340319b5cf6f91a0f442dbd0b614c11.nii.gz;Area-hIP3_pmap_r_N10_nlin2Stdcolin27_9.2_public_a085108a03f7d9de549f3607d280646c.nii.gz;Area-hIP3_pmap_l_N10_nlin2ICBM152asym2009c_9.2_public_da69d876b86179b3642b4404dd2c515d.nii.gz;Area-hIP3_pmap_r_N10_nlin2ICBM152asym2009c_9.2_public_b9bacec775318acf297c4c582dc119f5.nii.gz;1;1;1
Area-hIP4;7.3;Area-hIP4_pmap_l_N10_nlin2Stdcolin27_7.3_public_52b3269ebf4e03d81405178a8cd432e4.nii.gz;Area-hIP4_pmap_r_N10_nlin2Stdcolin27_7.3_public_12e6215449548fb4428216e5fd90f0a8.nii.gz;Area-hIP4_pmap_l_N10_nlin2ICBM152asym2009c_7.3_public_a4fd64d6bf3513fda600c2c3082a653d.nii.gz;Area-hIP4_pmap_r_N10_nlin2ICBM152asym2009c_7.3_public_87063beb22c6cbf7173e7a552eb396d3.nii.gz;1;1;1
Area-hIP5;7.3;Area-hIP5_pmap_l_N10_nlin2Stdcolin27_7.3_public_178e7ccca6a861df6262c1f3d2c64e78.nii.gz;Area-hIP5_pmap_r_N10_nlin2Stdcolin27_7.3_public_52d574566ec8279bca137f9b486de27e.nii.gz;Area-hIP5_pmap_l_N10_nlin2ICBM152asym2009c_7.3_public_d001269330bd68edea225061553a3e5c.nii.gz;Area-hIP5_pmap_r_N10_nlin2ICBM152asym2009c_7.3_public_670f64d8c030f4463534ced225e66f74.nii.gz;1;1;1
Area-hIP6;7.3;Area-hIP6_pmap_l_N10_nlin2Stdcolin27_7.3_public_32a985a745ec729c27b8cc878ed09bc2.nii.gz;Area-hIP6_pmap_r_N10_nlin2Stdcolin27_7.3_public_36e4aad9cb8bb398cdffd1019faec4e8.nii.gz;Area-hIP6_pmap_l_N10_nlin2ICBM152asym2009c_7.3_public_c21131534f4a054242533701d19db725.nii.gz;Area-hIP6_pmap_r_N10_nlin2ICBM152asym2009c_7.3_public_f43da835e7bc3eb9f940168364d1dee1.nii.gz;1;1;1
Area-hIP7;7.3;Area-hIP7_pmap_l_N10_nlin2Stdcolin27_7.3_public_65f37379ffb418c0cc0d82db66f1e75f.nii.gz;Area-hIP7_pmap_r_N10_nlin2Stdcolin27_7.3_public_e863eb7756207650005c4d68a92d82a1.nii.gz;Area-hIP7_pmap_l_N10_nlin2ICBM152asym2009c_7.3_public_0907ff93dba4405cfbbf0f2b966a898f.nii.gz;Area-hIP7_pmap_r_N10_nlin2ICBM152asym2009c_7.3_public_8b520317b2c3e01498fb0705a9bcff4e.nii.gz;1;1;1
Area-hIP8;7.3;Area-hIP8_pmap_l_N10_nlin2Stdcolin27_7.3_public_f251f2ab93b9ca4c478409c1198cca20.nii.gz;Area-hIP8_pmap_r_N10_nlin2Stdcolin27_7.3_public_b5688e899a78ab1988a0c697d3d19346.nii.gz;Area-hIP8_pmap_l_N10_nlin2ICBM152asym2009c_7.3_public_db78affaac48da2317c531fce4878ad0.nii.gz;Area-hIP8_pmap_r_N10_nlin2ICBM152asym2009c_7.3_public_6bae72973f15616a2ddc679ea2178b21.nii.gz;1;1;1
Area-hOc1;4.2;Area-hOc1_pmap_l_N10_nlin2Stdcolin27_4.2_public_2a5e0119ddd68703a41a0f7fb5464725.nii.gz;Area-hOc1_pmap_r_N10_nlin2Stdcolin27_4.2_public_621c6ff06192e91defe6cf463d81e0a9.nii.gz;Area-hOc1_pmap_l_N10_nlin2ICBM152asym2009c_4.2_public_258e8c1d846f92be76922b20287344ae.nii.gz;Area-hOc1_pmap_r_N10_nlin2ICBM152asym2009c_4.2_public_25d6b1baae6edb05dd73218ad1368f42.nii.gz;1;1;1
Area-hOc2;4.2;Area-hOc2_pmap_l_N10_nlin2Stdcolin27_4.2_public_41f060b2558f2404daf9e46344fb132d.nii.gz;Area-hOc2_pmap_r_N10_nlin2Stdcolin27_4.2_public_b7d5950dc12f38605f32fc07851bd03f.nii.gz;Area-hOc2_pmap_l_N10_nlin2ICBM152asym2009c_4.2_public_9c4ee83969bca4aa64072d66a2b94115.nii.gz;Area-hOc2_pmap_r_N10_nlin2ICBM152asym2009c_4.2_public_033901ff8f52f4a0a0827be93549ed63.nii.gz;1;1;1
